1788213372.615,43BF3D,,,46.7560,-1.8956,18000,631,4,4,"rx-003,rx-000,rx-002,rx-001",1,
1788213374.615,AE01CE,,,47.1037,-0.5241,25000,6297,5,5,"rx-002,rx-001,rx-000,rx-004,rx-003",1,
1788213375.614,3944F1,,,47.5440,-2.1879,21000,615,5,5,"rx-004,rx-003,rx-000,rx-001,rx-002",2,
1788213376.614,43BF3D,,,46.7623,-1.8907,18000,632,4,4,"rx-003,rx-000,rx-002,rx-001",1,
1788213377.614,3944F1,,,47.5426,-2.1843,21000,864,4,4,"rx-003,rx-000,rx-001,rx-002",1,
1788213378.627,43BF3D,,,46.7646,-1.8889,18000,785,3,3,"rx-003,rx-002,rx-001",0,
1788213379.615,3944F1,,,47.5400,-2.1784,21000,602,5,5,"rx-004,rx-003,rx-000,rx-001,rx-002",2,
1788213380.628,43BF3D,,,46.7675,-1.8856,18000,778,3,3,"rx-003,rx-002,rx-001",0,
1788213382.627,43BF3D,,,46.7696,-1.8838,18000,774,3,3,"rx-003,rx-002,rx-001",0,
1788213382.615,3944F1,,,47.5361,-2.1712,21000,588,5,5,"rx-004,rx-003,rx-000,rx-001,rx-002",2,
1788213384.614,3944F1,,,47.5350,-2.1687,21000,853,4,4,"rx-003,rx-000,rx-001,rx-002",1,
1788213385.614,43BF3D,,,46.7718,-1.8808,18000,606,5,5,"rx-003,rx-000,rx-002,rx-004,rx-001",2,0
1788213385.614,AE01CE,,,47.1036,-0.5342,25000,4816,5,5,"rx-002,rx-001,rx-000,rx-004,rx-003",1,0
1788213386.615,3944F1,,,47.5319,-2.1626,21000,571,5,5,"rx-004,rx-003,rx-000,rx-001,rx-002",2,0
1788213387.615,43BF3D,,,46.7751,-1.8772,18000,595,5,5,"rx-003,rx-000,rx-002,rx-004,rx-001",2,0
1788213388.615,3944F1,,,47.5302,-2.1597,21000,562,5,5,"rx-004,rx-003,rx-000,rx-001,rx-002",2,0
1788213390.627,43BF3D,,,46.7784,-1.8748,18000,672,4,4,"rx-003,rx-002,rx-004,rx-001",1,0
1788213390.615,3944F1,,,47.5278,-2.1551,21000,553,5,5,"rx-004,rx-003,rx-000,rx-001,rx-002",2,47.5277,-2.1549,21003,127,403,0,378
1788213392.616,3944F1,,,47.5260,-2.1507,21000,804,4,4,"rx-003,rx-000,rx-001,rx-002",1,47.5253,-2.1501,21003,127,408,0,320
1788213392.615,43BF3D,,,46.7812,-1.8719,18000,582,5,5,"rx-003,rx-000,rx-002,rx-004,rx-001",2,0
1788213394.614,3944F1,,,47.5252,-2.1479,21000,797,4,4,"rx-003,rx-000,rx-001,rx-002",1,47.5232,-2.1456,21003,126,407,0,326
1788213396.616,43BF3D,,,46.7878,-1.8668,18000,557,5,5,"rx-003,rx-000,rx-002,rx-004,rx-001",2,46.7863,-1.8674,18001,33,321,0,433
1788213396.615,AE01CE,,,47.1103,-0.5778,25000,5295,5,5,"rx-002,rx-001,rx-000,rx-004,rx-003",1,0
1788213396.615,3944F1,,,47.5216,-2.1414,21000,523,5,5,"rx-004,rx-003,rx-000,rx-001,rx-002",2,47.5214,-2.1416,21001,126,397,0,284
1788213398.616,3944F1,,,47.5204,-2.1387,21000,776,4,4,"rx-003,rx-000,rx-001,rx-002",1,47.5194,-2.1373,21001,126,396,0,283
1788213398.616,43BF3D,,,46.7922,-1.8631,18000,545,5,5,"rx-003,rx-000,rx-002,rx-004,rx-001",2,46.7902,-1.8641,18001,33,345,0,389
1788213400.615,3944F1,,,47.5174,-2.1317,21000,507,5,5,"rx-004,rx-003,rx-000,rx-001,rx-002",2,47.5176,-2.1330,20999,125,392,0,262
1788213401.615,43BF3D,,,46.7925,-1.8614,18000,554,4,4,"rx-003,rx-000,rx-002,rx-001",1,46.7936,-1.8608,18001,33,336,0,389
1788213402.614,3944F1,,,47.5168,-2.1312,21000,764,4,4,"rx-003,rx-000,rx-001,rx-002",1,47.5156,-2.1292,21000,125,386,0,259
1788213403.615,3944F1,,,47.5146,-2.1263,21000,497,5,5,"rx-004,rx-003,rx-000,rx-001,rx-002",2,47.5147,-2.1271,20999,125,384,0,234
